TC_Bulk_Add_Template,,,,,
Content_Name,Content_URL,Content_Pattern,Active(YES/NO),Cobrowse_Suppressed(YES/NO),Non-matching_page(YES/NO)
ATT-BCS-Premier-POS,https://www.wireless.att.com/business/(.*),https://www.wireless.att.com/business/(.*),YES,NO,NO
ATT-BCS-Premier-O-POS-Upgrade_Options,https://www.wireless.att.com/business/upgrade_options/(.*),https://www.wireless.att.com/business/upgrade_options/(.*),YES,NO,NO
ATT-BCS-Premier-O-POS-Support,https://www.wireless.att.com/business/support/(.*),https://www.wireless.att.com/business/support/(.*),YES,NO,NO
ATT-BCS-Premier-O-POS-Shop,https://www.wireless.att.com/business/shop/(.*),https://www.wireless.att.com/business/shop/(.*),YES,NO,NO
ATT-BCS-Premier-O-POS-Promos,https://www.wireless.att.com/business/promos/(.*),https://www.wireless.att.com/business/promos/(.*),YES,NO,NO
ATT-BCS-Premier-O-POS-Plans,https://www.wireless.att.com/business/plans/(.*),https://www.wireless.att.com/business/plans/(.*),YES,NO,NO
ATT-BCS-Premier-O-POS-Phones,https://www.wireless.att.com/business/phones/(.*),https://www.wireless.att.com/business/phones/(.*),YES,NO,NO
ATT-BCS-Premier-O-POS-Packages,https://www.wireless.att.com/business/packages/(.*),https://www.wireless.att.com/business/packages/(.*),YES,NO,NO
ATT-BCS-Premier-O-POS-Dashboard,https://www.wireless.att.com/business/index.jsp?(.*),https://www.wireless.att.com/business/index.jsp?(.*),YES,NO,NO
ATT-BCS-Premier-O-POS-Features,https://www.wireless.att.com/business/features/(.*),https://www.wireless.att.com/business/features/(.*),YES,NO,NO
ATT-BCS-Premier-O-POS-Error,https://www.wireless.att.com/business/error.jsp(.*),https://www.wireless.att.com/business/error.jsp(.*),YES,NO,NO
ATT-BCS-Premier-O-POS-Contacts,https://www.wireless.att.com/business/contacts/(.*),https://www.wireless.att.com/business/contacts/(.*),YES,NO,NO
ATT-BCS-Premier-O-POS-Common,https://www.wireless.att.com/business/common/(.*),https://www.wireless.att.com/business/common/(.*),YES,NO,NO
ATT-BCS-Premier-I-POS-Checkout_Sbnc,https://www.wireless.att.com/business/checkout_sbnc/(.*),https://www.wireless.att.com/business/checkout_sbnc/(.*),YES,NO,NO
ATT-BCS-Premier-I-POS-Checkout_CRU,https://www.wireless.att.com/business/checkout_cru/(.*),https://www.wireless.att.com/business/checkout_cru/(.*),YES,NO,NO
ATT-BCS-Premier-I-POS-Cart,https://www.wireless.att.com/business/cart/(.*),https://www.wireless.att.com/business/cart/(.*),YES,NO,NO
ATT-BCS-Premier-O-POS-Accessories,https://www.wireless.att.com/business/accessories/(.*),https://www.wireless.att.com/business/accessories/(.*),YES,NO,NO
