TC_Bulk_Add_Template,,,,,
Content_Name,Content_URL,Content_Pattern,Active(YES/NO),Cobrowse_Suppressed(YES/NO),Non-matching_page(YES/NO)
ATT-BCS-Premier-O-POC-Requests,https://www.wireless.att.com/businesscare/requests/,(?!.*firstnet)(.*)att.com(.*)/businesscare/requests/(\?(.*))?,YES,NO,NO
ATT-BCS-Premier-O-POC-Reports,https://www.wireless.att.com/businesscare/reports/,(?!.*firstnet)(.*)att.com(.*)/businesscare/reports/(\?(.*))?,YES,NO,NO
ATT-BCS-Premier-O-POC-Reporting,https://www.wireless.att.com/businesscare/reporting/,(?!.*firstnet)(.*)att.com(.*)/businesscare/reporting/(\?(.*))?,YES,NO,NO
ATT-BCS-Premier-O-POC-Promos,https://www.wireless.att.com/businesscare/promos/,(?!.*firstnet)(.*)att.com(.*)/businesscare/promos/(\?(.*))?,YES,NO,NO
ATT-BCS-Premier-O-POC-Products,https://www.wireless.att.com/businesscare/products_services/,(?!.*firstnet)(.*)att.com(.*)/businesscare/products_services/(\?(.*))?,YES,NO,NO
ATT-BCS-Premier-O-POC-Popups,https://www.wireless.att.com/businesscare/popups/,(?!.*firstnet)(.*)att.com(.*)/businesscare/popups/(\?(.*))?,YES,NO,NO
ATT-BCS-Premier-O-POC-PayMethod,https://www.wireless.att.com/businesscare/payment_method/,(?!.*firstnet)(.*)att.com(.*)/businesscare/payment_method/(\?(.*))?,YES,NO,NO
ATT-BCS-Premier-O-POC-MPP,https://www.wireless.att.com/businesscare/mpp/,(?!.*firstnet)(.*)att.com(.*)/businesscare/mpp/(\?(.*))?,YES,NO,NO
ATT-BCS-Premier-O-POC-Message,https://www.wireless.att.com/businesscare/message.jsp,(?!.*firstnet)(.*)att.com(.*)/businesscare/message.jsp(.*),YES,NO,NO
ATT-BCS-Premier-O-POC-Menu,https://www.wireless.att.com/businesscare/menu/,(?!.*firstnet)(.*)att.com(.*)/businesscare/menu/(\?(.*))?,YES,NO,NO
ATT-BCS-Premier-O-POC-MgSettings,https://www.wireless.att.com/businesscare/manage_usage_settings.jsp,(?!.*firstnet)(.*)att.com(.*)/businesscare/manage_usage_settings.jsp(.*),YES,NO,NO
ATT-BCS-Premier-O-POC-NonPep,https://www.wireless.att.com/businesscare/index_nonpep.jsp,(?!.*firstnet)(.*)att.com(.*)/businesscare/index_nonpep.jsp(.*),YES,NO,NO
ATT-BCS-Premier-O-POC-DashPopups,https://www.wireless.att.com/businesscare/index_frags/dashboard/popups/,(?!.*firstnet)(.*)att.com(.*)/businesscare/index_frags/dashboard/popups/(\?(.*))?,YES,NO,NO
ATT-BCS-Premier-O-POC-IndVdnae,https://www.wireless.att.com/businesscare/index_dashboard_vdnae.jsp?,(?!.*firstnet)(.*)att.com(.*)/businesscare/index_dashboard_vdnae.jsp?(.*),YES,NO,NO
ATT-BCS-Premier-O-POC-IndAdmin,https://www.wireless.att.com/businesscare/index_admin_dashboard_ipflex.jsp?,(?!.*firstnet)(.*)att.com(.*)/businesscare/index_admin_dashboard_ipflex.jsp?(.*),YES,NO,NO
ATT-BCS-Premier-O-POC-Index,https://www.wireless.att.com/businesscare/index.jsp,(?!.*firstnet)(.*)att.com(.*)/businesscare/index.jsp(.*),YES,NO,NO
ATT-BCS-Premier-O-POC-Handoff,https://www.wireless.att.com/businesscare/handoff.jsp?,(?!.*firstnet)(.*)att.com(.*)/businesscare/handoff.jsp?(.*),YES,NO,NO
ATT-BCS-Premier-O-POC-Groupplan,https://www.wireless.att.com/businesscare/groupplan/,(?!.*firstnet)(.*)att.com(.*)/businesscare/groupplan/(\?(.*))?,YES,NO,NO
ATT-BCS-Premier-O-POC-Error,https://www.wireless.att.com/businesscare/error.jsp,(?!.*firstnet)(.*)att.com(.*)/businesscare/error.jsp(.*),YES,NO,NO
ATT-BCS-Premier-O-POC-EmailVerif,https://www.wireless.att.com/businesscare/email_verification/,(?!.*firstnet)(.*)att.com(.*)/businesscare/email_verification/(\?(.*))?,YES,NO,NO
ATT-BCS-Premier-O-POC-Common,https://www.wireless.att.com/businesscare/common/,(?!.*firstnet)(.*)att.com(.*)/businesscare/common/(\?(.*))?,YES,NO,NO
ATT-BCS-Premier-O-POC-ChgRequests,https://www.wireless.att.com/businesscare/change_requests/,(?!.*firstnet)(.*)att.com(.*)/businesscare/change_requests/(\?(.*))?,YES,NO,NO
ATT-BCS-Premier-O-POC-CATIndex,https://www.wireless.att.com/businesscare/cat_index.jsp,(?!.*firstnet)(.*)att.com(.*)/businesscare/cat_index.jsp(.*),YES,NO,NO
ATT-BCS-Premier-O-POC-CallList,https://www.wireless.att.com/businesscare/call_list/,(?!.*firstnet)(.*)att.com(.*)/businesscare/call_list/(\?(.*))?,YES,NO,NO
ATT-BCS-Premier-O-POC-Bulk,https://www.wireless.att.com/businesscare/bulk/bulk_services/,(?!.*firstnet)(.*)att.com(.*)/businesscare/bulk/bulk_services/(\?(.*))?,YES,NO,NO
ATT-BCS-Premier-O-POC-Asynch,https://www.wireless.att.com/businesscare/asynch/,(?!.*firstnet)(.*)att.com(.*)/businesscare/asynch/(\?(.*))?,YES,NO,NO
ATT-BCS-Premier-O-POC-ADP,https://www.wireless.att.com/businesscare/adp/,(?!.*firstnet)(.*)att.com(.*)/businesscare/adp/(\?(.*))?,YES,NO,NO
ATT-BCS-Premier-O-POC-Admin,https://www.wireless.att.com/businesscare/admin/,(?!.*firstnet)(.*)att.com(.*)/businesscare/admin/(\?(.*))?,YES,NO,NO
ATT-BCS-Premier-O-POC-Accounts,https://www.wireless.att.com/businesscare/accounts.jsp,(?!.*firstnet)(.*)att.com(.*)/businesscare/accounts.jsp(\?(.*))?,YES,NO,NO
ATT-BCS-Premier-O-POC-Dashboard,https://www.wireless.att.com/business/?bref=IBAJ45L2PR9000LIL,(.*)wireless.att.com\/business\/\?(bref=IBAJ45L2PR9000LIL|wtPOCVisitorType=POCOnly),YES,NO,NO
