TC_Bulk_Update_Template,,,,,,,
Page_ID,Content_Name,Content_URL,Content_Pattern,Marker_ID,Active(YES/NO),Cobrowse_Suppressed(YES/NO),Non-matching_page(YES/NO)
36215889,ATT-BCS-Premier-O-BusinessCare_Home,https://www.wireless.att.com/businesscare/index.jsp,(?!.*firstnet).*/businesscare/index.jsp.*,ATT-DTM-MYATT-O-TSnR,no,no,no
36215871,ATT-BCS-Premier-O-Shop,https://www.wireless.att.com/business/shop,(?!.*firstnet).*/business/shop(?!(/(indicate_device|shop_cru|index|shopping_options|express|upgrade_options|crossUpgrade|mydeals.jsp).*)).*,ATT-Support-O-TSNR,no,no,no
38192908,ATT-BCS-Premier-O-POS-Dashboard,https://www.wireless.att.com/business/index.jsp?(.*),https://www.wireless.att.com/business/index.jsp?(.*),ATT-BCS-Premier-O-POS-Dashboard,no,no,no
36218003,ATT-BCS-Premier-O-Shop_Deals,https://www.wireless.att.com/business/shop/mydeals.jsp,(?!.*firstnet).*(wireless.att.com|b2bfsta.edc.*|pccfstweb01.edc.*)/business/shop/mydeals.jsp.*,ATT-BCS-Premier-O-Shop_Deals,no,no,no
36215862,ATT-BCS-Premier-O-Phones,https://www.wireless.att.com/business/phones,(?!.*firstnet).*.com/business/phones(?!(/phones_(compare|main).jsp)).*,ATT-BCS-Premier-O-Phones,no,no,no
36215867,ATT-BCS-Premier-O-Packages,https://wireless.att.com/business/packages,(?!.*firstnet).*/business/packages(?!(/packages_and_offers.jsp)).*,ATT-BCS-Premier-O-Packages,no,no,no
36215865,ATT-BCS-Premier-O-Plans,https://wireless.att.com/business/plans,(?!.*firstnet).*/business/plans.*,ATT-BCS-Premier-O-Plans,no,no,no
36215869,ATT-BCS-Premier-O-Accessories,https://wireless.att.com/business/accessories,(?!.*firstnet).*/business/accessories(?!(/accessories_choose_model.jsp)).*,ATT-BCS-Premier-O-Accessories,no,no,no
36215863,ATT-BCS-Premier-O-Phones_Compare,https://www.wireless.att.com/business/phones/phones_compare.jsp,(?!.*firstnet).*/business/phones/phones_compare.jsp.*,ATT-BCS-Premier-O-Phones_Compare,no,no,no
36215866,ATT-BCS-Premier-O-Features,https://wireless.att.com/business/features,(?!.*firstnet).*/business/features.*,ATT-BCS-Premier-O-Features,no,no,no
36215882,ATT-BCS-Premier-O-Cart,https://www.wireless.att.com/business/cart,(?!.*firstnet).*/business/cart(?!/conflicts_summary.jsp).*,ATT-BCS-Premier-O-Cart,no,no,no
36215887,ATT-BCS-Premier-O-Checkout,https://wireless.att.com/business/checkout/,(?!.*firstnet).*/business/checkout/.*,ATT-BCS-Premier-O-Checkout,no,no,no
36215885,ATT-BCS-Premier-O-Checkout_CRU,https://wireless.att.com/business/checkout_cru,(?!.*firstnet).*/business/checkout_cru.*,ATT-BCS-Premier-O-Checkout_CRU,no,no,no
36215886,ATT-BCS-Premier-O-Checkout_IRU,https://wireless.att.com/business/checkout_iru,(?!.*firstnet).*/business/checkout_iru.*,ATT-BCS-Premier-O-Checkout_IRU,no,no,no
36574144,ATT-BCS-Premier-O-BusinessCare-UpdateBillContInfo,https://www.wireless.att.com/businesscare/account/update_billing_contact.jsp,(?!.*firstnet).*/businesscare/account/update_billing_contact.jsp.*,ATT-BCS-Premier-O-BusinessCare-UpdateBillContInfo,no,no,no
36574163,ATT-BCS-Premier-O-BusinessCare-RequestReports,https://www.wireless.att.com/businesscare/reporting/tcm_inv_reports/requestreports.jsp,(?!.*firstnet).*/businesscare/reporting/tcm_inv_reports/requestreports.jsp.*,ATT-BCS-Premier-O-BusinessCare-RequestReports,no,no,no
36574164,ATT-BCS-Premier-O-BusinessCare-ViewDownloadReqRpt,https://www.wireless.att.com/businesscare/reporting/common/view_download.jsp,(?!.*firstnet).*/businesscare/reporting/common/view_download.jsp.*,ATT-BCS-Premier-O-BusinessCare-ViewDownloadReqRpt,no,no,no
36574155,ATT-BCS-Premier-O-BusinessCare-CreateMobShareGrp,https://www.wireless.att.com/businesscare/groupplan/select_group_data_plan.jsp,(?!.*firstnet).*/businesscare/groupplan/select_group_data_plan.jsp.*,ATT-BCS-Premier-O-BusinessCare-CreateMobShareGrp,no,no,no
36574156,ATT-BCS-Premier-O-BusinessCare-ModifyMobShareGrp,https://www.wireless.att.com/businesscare/groupplan/select_data_group.jsp,(?!.*firstnet).*/businesscare/groupplan/select_data_group.jsp.*,ATT-BCS-Premier-O-BusinessCare-ModifyMobShareGrp,no,no,no
36574157,ATT-BCS-Premier-O-BusinessCare-ManageAList,https://www.wireless.att.com/businesscare/call_list/individual/manage_call_list.jsp,(?!.*firstnet).*/businesscare/call_list/individual/manage_call_list.jsp.*,ATT-BCS-Premier-O-BusinessCare-ManageAList,no,no,no
