Page_ID,Content_Name,Content_URL,Content_Pattern,Marker_ID,Active(YES/NO),Cobrowse_Suppressed(YES/NO),Non-matching_page(YES/NO)
36210607,ATT-Shop-WR-O-Entertainment_select-equipment,https://www.att.com/shop/entertainment/#/select-extras,.*att\.com\/shop\/entertainment\/#\/select-extras,ATT-Shop-WR-O-Entertainment_select-equipment,yes,no,no
36210881,ATT-NoU-BF-New-Service-Address,NO MATCH,NO MATCH,ATT-NoU-BF-New-Service-Address,yes,no,no
36210882,ATT-NoU-BF-SelectServices-HomePhone,No Match,No Match,ATT-NoU-BF-SelectServices-HomePhone,yes,no,no
36210883,ATT-NoU-BF-SelectServices-Internet,https://connect.att.com/apps/supern/ServiceAddressAction.form,No Match,ATT-NoU-BF-SelectServices-Internet,no,no,no
36210884,ATT-NoU-BF-SelectServices-Wireless,https://connect.att.com/apps/supern/ServiceAddressAction.form,No Match,ATT-NoU-BF-SelectServices-Wireless,no,no,no
36210885,ATT-NoU-BF-SelectServices-DigitalTV,https://connect.att.com/apps/supern/BYOBAnswersCalculatorAction.form,No Match,ATT-NoU-BF-SelectServices-DigitalTV,yes,no,no
36210886,ATT-NoU-BF-ProductSummary,https://connect.att.com/apps/supern/ProductSummaryAction.do?previousSelected=false&longTermOfferTandC=N&specialOfferSelected=LONGTERMSAVING,No Match,ATT-NoU-BF-ProductSummary,yes,no,no
36210887,ATT-NoU-BF-PeronsalizeServices,https://connect.att.com/apps/supern/ProductSummaryAction.form?action=submitSummary,No Match,ATT-NoU-BF-PeronsalizeServices,yes,no,no
36210888,ATT-NoU-BF-Billing,https://connect.att.com/apps/supern/PersonalizeServicesAction.form,No Match,ATT-NoU-BF-Billing,yes,no,no
36210889,ATT-NoU-BF-Activation,No Match,No Match,ATT-NoU-BF-Activation,yes,no,no
36210890,ATT-NoU-BF-Review,No Match,No Match,ATT-NoU-BF-Review,yes,no,no
36210891,ATT-NoU-BF-SelectServices,https://connect.att.com/apps/supern/ServiceAddressAction.form,No Match,ATT-NoU-BF-SelectServices,yes,no,no
36210892,ATT-CARE-MyDigitalLife-O-Connect,https://my-digitallife.att.com/dl/connect,(.*)digitallife.att.com/(dl|rio)/(#/self-)?connect(.*),ATT-CARE-MyDigitalLife-O-Connect,yes,no,no
36210893,ATT-SetUpTV-Channels,http://www.att.com/u-verse/shop/customize.jsp?q_usedReferralPackage=prod7620639&_requestid=24576#vucbbb,Modal,ATT-SetUpTV-Channels,yes,no,no
36210894,ATT-SetUpTV-HDOpt,http://www.att.com/u-verse/shop/customize.jsp?q_usedReferralPackage=prod7620639&_requestid=24576#vucbbb,Modal,ATT-SetUpTV-HDOpt,yes,no,no
36210895,ATT-SetUpTV-Recievers,http://www.att.com/u-verse/shop/customize.jsp?q_usedReferralPackage=prod7620639&_requestid=24576#vucbbb,Modal,ATT-SetUpTV-Recievers,yes,no,no
36210896,ATT-SetUpInternet,http://www.att.com/u-verse/shop/customize.jsp?q_usedReferralPackage=prod7620639&_requestid=24576#vucbbb,Modal,ATT-SetUpInternet,yes,no,no
36210897,ATT-SetUpVoice-PhoneLines,http://www.att.com/u-verse/shop/customize.jsp?q_usedReferralPackage=prod7620639&_requestid=24576#vucbbb,Modal,ATT-SetUpVoice-PhoneLines,yes,no,no
36210898,ATT-SetUpVoice-ListingOpt,http://www.att.com/u-verse/shop/customize.jsp?q_usedReferralPackage=prod7620639&_requestid=24576#vucbbb,Modal,ATT-SetUpVoice-ListingOpt,yes,no,no
36210899,ATT-NoU-BF-SelectServices-LongDistance,DO NOT MATCH,DO NOT MATCH,ATT-NoU-BF-SelectServices-LongDistance,yes,no,no
36211026,ATT-Giga-GetService,https://www.att.com/shop/u-verse/giga-power/signup/getservice.html,NO MATCH,ATT-Giga-GetService,yes,no,no
36211027,ATT-Giga-Configure,https://www.att.com/shop/u-verse/giga-power/signup/buy.html#/configuration/prod8020657,NO MATCH,ATT-Giga-Configure,yes,no,no
36211028,ATT-Giga-OrderSummary,https://www.att.com/shop/u-verse/giga-power/signup/buy.html#/ordersummary,NO MATCH,ATT-Giga-OrderSummary,yes,no,no
36211029,ATT-Giga-BF-PersonalInfo-Step1,https://www.att.com/shop/u-verse/giga-power/signup/checkout.html#/personalinfo,NO MATCH,ATT-Giga-BF-PersonalInfo-Step1,yes,no,no
36211030,ATT-Giga-BF-Step2,NO MATCH,NO MATCH,ATT-Giga-BF-Step2,yes,no,no
36211031,ATT-Giga-BF-Step3,NO MATCH,NO MATCH,ATT-Giga-BF-Step3,yes,no,no
36212752,ATT-AP-PaymentStatus-O-Home,http://paymentstatus.att.com/empdefault.asp,(.*)(paymentstatus|gaalpa1psfxxw08)(.*)/empdefault(.*),ATT-AP-PaymentStatus-O-Home,yes,no,no
36212753,ATT-AP-PaymentStatus-O-Invoice,http://paymentstatus.att.com/enterinvoicedat.asp,(.*)(paymentstatus|gaalpa1psfxxw08)(.*)/enterinvoicedat(.*),ATT-AP-PaymentStatus-O-Invoice,yes,no,no
36212754,ATT-AP-PaymentStatus-O-Pay,http://paymentstatus.att.com/enterpaydat.asp,(.*)(paymentstatus|gaalpa1psfxxw08)(.*)/enterpaydat(.*),ATT-AP-PaymentStatus-O-Pay,yes,no,no
36212755,ATT-AP-PaymentStatus-O-Vendor,http://paymentstatus.att.com/entervendordat.asp,(.*)(paymentstatus|gaalpa1psfxxw08)(.*)/entervendordat(.*),ATT-AP-PaymentStatus-O-Vendor,yes,no,no
36212756,ATT-AP-SupplierWebTool-O-Home,http://apsupplier.web.att.com/empdefault.asp,(.*)(apsupplier|gaalpa1psfxxw08(.*)88)(.*)/empdefault(.*),ATT-AP-SupplierWebTool-O-Home,yes,no,no
36212757,ATT-AP-APSS-O-Main,https://workspace.web.att.com/sites/APSS/default.aspx,(.*)/sites/APSS/default.aspx,ATT-AP-APSS-O-Main,yes,no,no
36212758,ATT-AP-APSS-O-AcctCodes,https://workspace.web.att.com/sites/APSS/Acct/default.aspx,(.*)/sites/APSS/Acct/default.aspx(.*),ATT-AP-APSS-O-AcctCodes,yes,no,no
36212759,ATT-AP-APSS-O-APFAQs,https://workspace.web.att.com/sites/APSS/APFAQ/default.aspx,(.*)/sites/APSS/APFAQ/default.aspx(.*),ATT-AP-APSS-O-APFAQs,yes,no,no
36212760,ATT-AP-APSS-O-CAPSRequest,https://workspace.web.att.com/sites/APSS/CAPS/default.aspx,(.*)/sites/APSS/CAPS(.test)?/default.aspx(.*),ATT-AP-APSS-O-CAPSRequest,yes,no,no
36212761,ATT-AP-APSS-O-CAPSExpense,https://workspace.web.att.com/sites/APSS/CAPSExpense/default.aspx,(.*)/sites/APSS/CAPSExpense/default.aspx(.*),ATT-AP-APSS-O-CAPSExpense,yes,no,no
36212762,ATT-AP-APSS-O-CardProg,https://workspace.web.att.com/sites/APSS/CardProg/default.aspx,(.*)/sites/APSS/CardProg/default.aspx(.*),ATT-AP-APSS-O-CardProg,yes,no,no
36212763,ATT-AP-APSS-O-CardProg_Acknowledgement,https://workspace.web.att.com/sites/APSS/CardProg/Acknowledge/default.aspx,(.*)/sites/APSS/CardProg/Acknowledge/default.aspx(.*),ATT-AP-APSS-O-CardProg_Acknowledgement,yes,no,no
36212764,ATT-AP-APSS-O-CardProg_Enroll,https://workspace.web.att.com/sites/APSS/CardProg/enroll/default.aspx,(.*)/sites/APSS/CardProg/enroll/default.aspx(.*),ATT-AP-APSS-O-CardProg_Enroll,yes,no,no
36212765,ATT-AP-APSS-O-CardProg_Lang,https://workspace.web.att.com/sites/APSS/CardProg/Lang/default.aspx,(.*)/sites/APSS/CardProg/Lang/default.aspx(.*),ATT-AP-APSS-O-CardProg_Lang,yes,no,no
